created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
30.0	2015-03-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.5	1016.8	ALICANTE	16.4	7.9	25.6	19.0	12.4	6.1
34.0	2015-03-02	8025	ALICANTE/ALACANT	0.0	1013.4	1010.1	ALICANTE	9.2	10.5	29.5	22.4	15.2	2.2
28.0	2015-03-02	7247X	PINOSO 	0.0			ALICANTE	10.3		25.6	17.8	9.9	1.9
25.0	2015-03-02	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.5	1015.9	ALICANTE	12.5	10.4	28.3	21.6	14.8	3.1
16.0	2015-03-03	8025	ALICANTE/ALACANT	0.0	1015.4	1012.0	ALICANTE	6.1	9.1	21.1	17.0	12.8	1.9
22.0	2015-03-03	7247X	PINOSO 	0.0			ALICANTE	6.9		25.0	16.2	7.3	1.7
4.0	2015-03-03	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.7	1018.0	ALICANTE	7.8	8.2	20.0	15.9	11.8	2.5
2.0	2015-03-04	8025	ALICANTE/ALACANT	0.0	1020.9	1013.5	ALICANTE	11.4	5.1	18.8	15.2	11.5	1.7
33.0	2015-03-04	7247X	PINOSO 	0.0			ALICANTE	11.4		21.7	13.8	5.9	2.2
35.0	2015-03-04	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1027.4	1019.7	ALICANTE	12.5	3.9	18.8	15.3	11.8	0.8
35.0	2015-03-05	8025	ALICANTE/ALACANT	0.0	1022.0	1018.5	ALICANTE	8.9	10.9	19.6	13.0	6.5	2.8
35.0	2015-03-05	7247X	PINOSO 	0.0			ALICANTE	11.4		16.0	8.0	-0.1	2.2
24.0	2015-03-05	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1028.6	1024.5	ALICANTE	8.9	10.9	20.3	12.2	4.1	3.1
19.0	2015-03-06	8025	ALICANTE/ALACANT	0.0	1023.3	1019.0	ALICANTE	6.4	11.0	17.5	10.4	3.2	1.9
22.0	2015-03-06	7247X	PINOSO 	0.0			ALICANTE	6.1		14.8	6.2	-2.4	1.4
99.0	2015-03-06	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1029.6	1025.3	ALICANTE	7.2	10.7	18.1	9.8	1.6	1.4
12.0	2015-03-07	8025	ALICANTE/ALACANT	0.0	1022.5	1014.5	ALICANTE	6.7	11.0	20.7	12.5	4.3	2.2
20.0	2015-03-07	7247X	PINOSO 	0.0			ALICANTE	5.8		22.9	9.9	-3.1	1.7
20.0	2015-03-07	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1028.8	1020.7	ALICANTE	8.9	10.7	19.7	12.2	4.7	3.3
7.0	2015-03-08	8025	ALICANTE/ALACANT	0.0	1015.7	1013.1	ALICANTE	6.9	5.7	17.8	12.4	7.1	2.2
